íîìåð;ãîðîä;íàñåëåíèå
668;Íàðòêàëà;13.1
669;Ñðåäíåóðàëüñê;13.1
670;Àëçàìàé;13.0
671;Øåëåõîâ;13.0
672;Áëàãîâåùåíñê;12.9
673;Íîâûé_Îñêîë;12.9
674;Íîâîóçåíñê;12.8
675;×àéêîâñêèé;12.8
676;Äàíêîâ;12.7
677;Êàðãàò;12.7
678;Íóðëàò;12.7
679;Îñà;12.7
680;Ðûëüñê;12.7
681;Ñóõèíè÷è;12.7
682;Êîçüìîäåìüÿíñê;12.6
683;Ïåòóõîâî;12.6
684;Çåëåíîãîðñê;12.5
685;Íàâàøèíî;12.5
686;ßñíîãîðñê;12.5
687;Àëäàí;12.4
688;Ìàéñêèé;12.4
689;Ïëàâñê;12.4
690;Êóðòàìûø;12.3
691;Ëîáíÿ;12.2
692;Êîçåëüñê;12.1
693;Îëåíåãîðñê;12.1
694;Ïàâëîâñê;12.1
695;Øàõò¸ðñê;12.1
696;Áàáàåâî;12.0
697;Äóáíà;12.0
698;Îæåðåëüå;11.9
699;Óñìàíü;11.9
700;Àáèíñê;11.8
701;Êàìåøêîâî;11.8
702;Êàòàéñê;11.8
703;Óñîëüå;11.8
704;ßðàíñê;11.8
705;Àçíàêàåâî;11.7
706;Âåðõíåóðàëüñê;11.7
707;Äóáîâêà;11.7
708;Îïî÷êà;11.7
709;Ñòàðîäóá;11.7
710;Àáàçà;11.6
711;Ãóñèíîîç¸ðñê;11.6
712;×êàëîâñê;11.6
713;Àðàìèëü;11.5
714;Äðåçíà;11.5
715;Çåëåíîêóìñê;11.5
716;Ïåòóøêè;11.5
717;Ñåìèëóêè;11.5
718;Ýëåêòðîãîðñê;11.5
719;Ìåíçåëèíñê;11.4
720;Áàéìàê;11.3
721;Áîëõîâ;11.3
722;Âûòåãðà;11.3
723;Ãîðíîçàâîäñê;11.3
724;Ó÷àëû;11.3
725;Èçáåðáàø;11.2
726;Êàðà÷åâ;11.2
727;Êðàñàâèíî;11.2
728;Ìåíäåëååâñê;11.2
729;Âîëîêîëàìñê;11.1
730;Âûñîêîâñê;11.1
731;Èçîáèëüíûé;11.1
732;Êàëÿçèí;11.1
733;Êèðîâñê;11.1
734;Êîìñîìîëüñê;11.1
735;Ñîðñê;11.1
736;×åðíóøêà;11.1
737;Äàëìàòîâî;11.0
738;Æóêîâêà;11.0
739;Íèêîëàåâñê;11.0
740;Ôîêèíî;11.0
741;×åðìîç;11.0
742;Áîðîâñê;10.9
743;Êèðñ;10.9
744;Êîðÿæìà;10.9
745;Ëàãàíü;10.9
746;Óðæóì;10.9
747;Âèõîðåâêà;10.8
748;Âîðñìà;10.8
749;Ëåðìîíòîâ;10.8
750;Âåðõîòóðüå;10.7
751;Æåëåçíîâîäñê;10.7
752;Êîíñòàíòèíîâñê;10.7
753;Ïðîëåòàðñê;10.7
754;Ñåíãèëåé;10.7
755;×àïëûãèí;10.7
756;×óäîâî;10.7
757;Âàëäàé;10.6
758;Ìèõàéëîâñê;10.6
759;Êîâûëêèíî;10.5
760;Ñâåòîãîðñê;10.5
761;Áåëàÿ_Õîëóíèöà;10.4
762;Áåëîçåðñê;10.4
763;Òàëäîì;10.4
764;Êÿõòà;10.3
765;Íîëèíñê;10.3
766;Ïàëëàñîâêà;10.3
767;Ùó÷üå;10.3
768;Îáîÿíü;10.2
769;Ðûáíîå;10.2
770;Òþêàëèíñê;10.2
771;Áðîííèöû;10.1
772;Ãîðíîçàâîäñê;10.1
773;Ëåíèíñê;10.1
774;Ìàêàðüåâ;10.1
775;Ïîëÿðíûé;10.1
776;Ñîâåòñê;10.1
777;Ýðòèëü;10.1
778;Âåòëóãà;10.0
779;Ãàãàðèí;9.9
780;Ãîðîõîâåö;9.9
781;Ãîðÿ÷èé_Êëþ÷;9.9
782;Æèðíîâñê;9.9
783;Ëàêèíñê;9.9
784;Òîìàðè;9.9
785;Öèìëÿíñê;9.9
786;Áîðîäèíî;9.8
787;Õàðàáàëè;9.7
788;Çàðèíñê;9.6
789;Êàðà÷àåâñê;9.6
790;Ñóñóìàí;9.6
791;Òðóá÷åâñê;9.6
792;Ëèõîñëàâëü;9.5
793;Ëóõîâèöû;9.5
794;Íåìàí;9.5
795;Íîâîñîêîëüíèêè;9.5
796;Ïó÷åæ;9.3
797;Ñóðîâèêèíî;9.3
798;Ùèãðû;9.3
799;Ãðÿçîâåö;9.2
800;Çåëåíîãîðñê;9.2
801;Îðëîâ;9.2
802;×åõîâ;9.2
803;Ìàëìûæ;9.1
804;Ñîëüöû;9.1
805;Ñóðñê;9.1
806;Áóèíñê;9.0
807;Çàïàäíàÿ_Äâèíà;9.0
808;Ìàìàäûø;9.0
809;Ñóçäàëü;9.0
810;Íîâîõîï¸ðñê;8.9
811;Ñåðàôèìîâè÷;8.9
812;Çâåíèãîðîä;8.8
813;Ìàðèèíñêèé_Ïîñàä;8.8
814;Óñòþæíà;8.8
815;Çàâîäîóêîâñê;8.7
816;Êàðãîïîëü;8.7
817;Ïåòðîâ_Âàë;8.7
818;Êðàñíîãîðñê;8.6
819;Ëåáåäÿíü;8.6
820;Êîçëîâêà;8.5
821;Ñóðàæ;8.5
