<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
GAZP;D;20210929;000000;360.8800000;60144670
GAZP;D;20210930;000000;360.8000000;69876200
GAZP;D;20211001;000000;363.2500000;47529090
GAZP;D;20211004;000000;376.0600000;102227330
GAZP;D;20211005;000000;389.8200000;134521820
GAZP;D;20211006;000000;381.3000000;216137070
GAZP;D;20211007;000000;370.7000000;160398770
GAZP;D;20211008;000000;366.1700000;70161810
GAZP;D;20211011;000000;369.8100000;77995010
GAZP;D;20211012;000000;364.1000000;56619460
GAZP;D;20211013;000000;362.7700000;102086460
GAZP;D;20211014;000000;367.0000000;59659170
GAZP;D;20211015;000000;367.7600000;35816900
GAZP;D;20211018;000000;363.5000000;42945850
GAZP;D;20211019;000000;368.8300000;51429080
GAZP;D;20211020;000000;369.9700000;39435100
GAZP;D;20211021;000000;363.3700000;46351220
GAZP;D;20211022;000000;358.1200000;48056440
GAZP;D;20211025;000000;364.8400000;57268410
GAZP;D;20211026;000000;364.8200000;51713180
GAZP;D;20211027;000000;362.1700000;30579360
GAZP;D;20211028;000000;353.2100000;86476220
GAZP;D;20211029;000000;350.1800000;74862900
GAZP;D;20211101;000000;359.1000000;46460760
GAZP;D;20211102;000000;352.4800000;42925940
GAZP;D;20211103;000000;353.0200000;37782790
GAZP;D;20211105;000000;350.6000000;25553970
GAZP;D;20211108;000000;351.4700000;39731410
GAZP;D;20211109;000000;349.4600000;31015520
GAZP;D;20211110;000000;345.8000000;35456770
GAZP;D;20211111;000000;347.4400000;40212180
GAZP;D;20211112;000000;333.6000000;127163510
GAZP;D;20211115;000000;340.3000000;64140420
GAZP;D;20211116;000000;336.7900000;64616650
GAZP;D;20211117;000000;349.9800000;79007960
GAZP;D;20211118;000000;345.5600000;101979450
GAZP;D;20211119;000000;337.6200000;95994240
GAZP;D;20211122;000000;319.2000000;151300550
GAZP;D;20211123;000000;341.7700000;150432770
GAZP;D;20211124;000000;338.3000000;93592790
GAZP;D;20211125;000000;337.5500000;48702100
GAZP;D;20211126;000000;326.0000000;103502140
GAZP;D;20211129;000000;339.2000000;99152930
GAZP;D;20211130;000000;334.2400000;130276980
GAZP;D;20211201;000000;345.2100000;92906220
GAZP;D;20211202;000000;350.3000000;75360830
GAZP;D;20211203;000000;345.9900000;51627900
GAZP;D;20211206;000000;338.9400000;70924550
GAZP;D;20211207;000000;344.9600000;75507480
GAZP;D;20211208;000000;340.5000000;78321390
GAZP;D;20211209;000000;336.6000000;61406510
GAZP;D;20211210;000000;332.0000000;44642520
GAZP;D;20211213;000000;307.2600000;140577980
GAZP;D;20211214;000000;319.3500000;168672960
GAZP;D;20211215;000000;324.0900000;79742820
GAZP;D;20211216;000000;328.3900000;95469330
GAZP;D;20211217;000000;327.3000000;72099410
GAZP;D;20211220;000000;325.9000000;70795770
GAZP;D;20211221;000000;339.8800000;80061070
GAZP;D;20211222;000000;345.5500000;96809420
GAZP;D;20211223;000000;339.8100000;72129000
GAZP;D;20211224;000000;338.7900000;39005950
GAZP;D;20211227;000000;343.9700000;29925890
GAZP;D;20211228;000000;343.2300000;34848840
GAZP;D;20211229;000000;340.3300000;43005060
GAZP;D;20211230;000000;342.3900000;40853240
